Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers
rip	0.474805896449	0.638146654155	0.744956599384	4.56444867657	0.430594888182	0.427486307014	0.450780353131	0.454646935066	0.452423412487	0.1	50	32	1	0.001	REAL	0.0	64	30	0.474805896449	2	ddsf	10	32	2
even	0.387031022943	0.464374360376	0.599860774646	4.29113407241	0.472943521308	0.496017346597	0.500798827214	0.493600757125	0.491558677134	0.0	50	32	1	0.0001	REAL	0.1	32	30	0.387031022943	1	dsf	20	512	2
rip	0.773107718269	0.600900492208	0.613928015574	4.57088897422	0.433496290012	0.435981445252	0.459265709613	0.462760788562	0.459594033866	0.0	100	32	1	0.001	REAL	0.0	32	30	0.773107718269	2	ddsf	10	512	2
even	0.336400253068	0.452673508942	0.611746482866	4.29627030453	0.474540487578	0.498140417781	0.5007067604	0.494407267365	0.492581656097	0.0	50	32	1	0.001	REAL	0.1	32	30	0.336400253068	1	ddsf	10	128	2
even	0.597014883112	0.575381065089	0.641120252093	6.16247262965	0.465124537244	0.478283106819	0.476106274717	0.473988863732	0.472300985217	0.1	50	32	1	0.001	REAL	0.0	16	30	0.597014883112	2	dsf	10	64	2
rip	0.104575454186	0.847685402942	1.21906429758	9.1829014477	0.41645550829	0.417953379062	0.418583303801	0.418162722875	0.417971778294	0.1	50	32	1	0.001	REAL	0.0	64	30	0.104575454186	1	ddsf	10	64	2
even	0.583199781229	0.60150122545	0.670134974808	9.42049184052	0.463464359105	0.468775576565	0.468596218044	0.467422151978	0.466756307125	0.0	50	128	1	0.004	REAL	0.0	16	30	0.583199781229	1	ddsf	27	512	2
even	0.645578446735	0.422593937196	0.480845133413	4.30044512387	0.476985896283	0.524632145626	0.515025066139	0.507932672103	0.501983178766	0.0	100	32	1	0.001	REAL	0.0	16	30	0.645578446735	1	dsf	10	64	2
repeat	0.00268427	15.7152765222	18.7422286782	16.485108288	0.0513221177197	0.0305617661085	0.0369374955053	0.0384980832857	0.0400529075374	0.1	50	128	1	0.001	REAL	0.0	32	30	0.00268427	1	dsf	70	512	2
English	0.328698339532	0.162734545017	0.6966164608	6.45970609116	1.8838943696	2.44355941137	2.21362591824	2.10775428201	2.04601536793	0.1	200	256	1	0.0005	REAL	0.0	32	30	0.328698339532	20	ddsf	9	512	2
even	0.663737378671	0.459628478345	0.519467731406	4.28534602294	0.472804071968	0.512434787514	0.504770628547	0.498649160134	0.493760380049	0.0	50	32	1	0.004	REAL	0.0	32	30	0.663737378671	2	dsf	10	32	2
rrxor	0.984446586273	-0.0386307319458	0.00832559007865	5.41143529921	0.838628053964	0.946158098261	0.946168845274	0.932909565001	0.922495323666	0.0	100	32	1	0.0001	REAL	0.0	64	30	0.984446586273	0	dsf	22	512	2
rip	0.440556982606	0.208242709896	0.223134886745	3.25301517904	0.461084144289	0.539923079108	0.549760989024	0.541911406383	0.530040422272	0.0	50	32	1	0.0005	REAL	0.2	32	30	0.440556982606	2	ddsf	10	64	2
