Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers	UpperBound2
Russian	0.112846693403	0.976753530294	3.49122525943	22.1614695761	5.23621853437	5.61996178839	5.44825069686	5.37584861137	5.33598065644	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.112846693403	5	ddsf	140	512	2	6.28249216486
LDC2012T05	0.00326681914115	2.37569157624	75.9363559935	40.9121860724	5.48336626403	5.75168678873	5.64280555858	5.59066960701	5.5609667731	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00326681914115	4	dsf	33	512	2	24.3450136497
Japanese	0.32846015827	-0.245505622006	2.48364126614	6.34911372442	5.29354555171	6.195562736	5.7532496061	5.58487122635	5.49913451348	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.32846015827	5	dsf	21	512	2	0
Japanese	0.42756729298	-1.13131894602	0.909693835523	6.32038174063	5.48133459496	6.42307514267	5.88199952492	5.70954343087	5.63451987208	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.42756729298	5	dsf	12	512	2	0
LDC2012T05	0.0117749658734	2.02038903776	37.6638830848	35.4197158686	5.50950247917	5.94927075102	5.77145019008	5.68572670244	5.63708016293	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0117749658734	5	dsf	34	512	2	18.7378605134
Russian	0.00578145626181	1.50635222765	34.9120124588	42.129347383	5.07242727842	5.16426865913	5.12584623485	5.10813791072	5.09801540389	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00578145626181	4	dsf	41	512	2	21.8001892205
PTB	0.00193582338714	2.90194505655	163.522921369	44.3159943736	4.59271883846	4.72524525763	4.67704864533	4.65209276282	4.63670936077	0.0	100	512	1	0.001	REAL	0.0	32	30	0.00193582338714	0	dsf	60	512	2	30.4836610774
Russian	0.0755352984573	1.02439909584	7.0919800971	21.819932894	5.11293959366	5.4804851832	5.3214449198	5.25067687268	5.21118913109	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0755352984573	4	dsf	33	512	2	6.27530104166
Russian	0.0413142985813	0.858752394595	12.4328038497	16.6708340372	5.10779587259	5.5762094968	5.37010877894	5.27866545446	5.22886874444	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0413142985813	4	ddsf	25	512	2	6.27287174336
Arabic	0.0579001026361	2.02467473784	11.8168125631	49.7513916648	5.29560250012	5.62945782675	5.48959126473	5.42568442159	5.38931113753	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0579001026361	5	dsf	122	512	2	28.5202368323
PTB	0.00469275364278	3.06968138874	48.8921395682	53.0752860168	4.54436147315	4.63987961562	4.60446443758	4.58648166762	4.57540256713	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00469275364278	2	ddsf	117	512	2	43.9729205115
PTB	0.245056158801	1.42444919554	6.48063339554	20.8356473939	4.57536352394	5.46977630203	5.12428054756	4.95652116591	4.85539360225	0.2	200	512	1	0.0005	REAL	0.0	16	30	0.245056158801	1	ddsf	51	512	2	6.42607084631
